iter	Passed	Remaining
0	68	16951
1	88	10951
2	102	8454
3	115	7084
4	127	6263
5	142	5794
6	159	5553
7	178	5411
8	195	5234
9	213	5119
10	233	5063
11	251	4982
12	276	5038
13	283	4779
14	295	4621
15	308	4505
16	322	4413
17	328	4233
18	335	4082
19	342	3939
20	348	3803
21	365	3782
22	375	3702
23	383	3607
24	391	3521
25	396	3420
26	403	3328
27	410	3253
28	416	3176
29	425	3116
30	430	3042
31	436	2974
32	442	2908
33	448	2848
34	455	2799
35	461	2744
36	470	2705
37	477	2661
38	483	2617
39	491	2580
40	498	2542
41	507	2515
42	514	2476
43	521	2440
44	527	2403
45	533	2367
46	542	2345
47	550	2316
48	558	2291
49	565	2262
50	573	2239
51	580	2210
52	587	2184
53	593	2153
54	602	2137
55	610	2114
56	616	2087
57	622	2062
58	629	2036
59	637	2018
60	643	1992
61	651	1974
62	657	1950
63	664	1931
64	674	1918
65	685	1910
66	694	1896
67	705	1888
68	712	1870
69	721	1855
70	729	1838
71	737	1822
72	746	1811
73	756	1798
74	765	1785
75	774	1772
76	787	1768
77	801	1767
78	814	1763
79	826	1755
80	839	1752
81	850	1742
82	864	1740
83	879	1737
84	889	1727
85	899	1715
86	911	1707
87	924	1701
88	939	1698
89	949	1687
90	961	1680
91	968	1664
92	978	1651
93	988	1640
94	998	1628
95	1004	1611
96	1011	1595
97	1018	1579
98	1029	1570
99	1036	1554
100	1044	1540
101	1054	1530
102	1063	1517
103	1076	1511
104	1085	1498
105	1094	1486
106	1105	1477
107	1113	1463
108	1119	1448
109	1126	1433
110	1132	1418
111	1139	1404
112	1146	1389
113	1152	1375
114	1159	1360
115	1167	1348
116	1182	1344
117	1194	1335
118	1206	1328
119	1218	1320
120	1229	1311
121	1241	1303
122	1254	1294
123	1269	1289
124	1279	1279
125	1298	1278
126	1308	1267
127	1315	1253
128	1322	1240
129	1331	1228
130	1339	1216
131	1346	1203
132	1355	1192
133	1362	1179
134	1369	1166
135	1384	1160
136	1394	1150
137	1402	1138
138	1411	1127
139	1419	1115
140	1426	1102
141	1433	1090
142	1443	1080
143	1450	1067
144	1457	1055
145	1464	1043
146	1471	1031
147	1479	1019
148	1486	1007
149	1493	995
150	1502	985
151	1510	973
152	1517	962
153	1524	950
154	1530	938
155	1537	926
156	1543	914
157	1552	904
158	1559	892
159	1569	882
160	1584	875
161	1599	868
162	1614	861
163	1630	855
164	1640	845
165	1646	833
166	1652	821
167	1660	810
168	1665	798
169	1672	786
170	1681	776
171	1694	768
172	1705	759
173	1718	750
174	1730	741
175	1737	730
176	1747	720
177	1756	710
178	1761	698
179	1767	687
180	1775	676
181	1782	666
182	1788	654
183	1795	643
184	1802	633
185	1812	623
186	1818	612
187	1824	601
188	1830	590
189	1837	580
190	1843	569
191	1851	559
192	1863	550
193	1870	540
194	1881	530
195	1892	521
196	1902	511
197	1912	502
198	1920	492
199	1929	482
200	1934	471
201	1942	461
202	1950	451
203	1957	441
204	1964	431
205	1971	421
206	1980	411
207	1994	402
208	2002	392
209	2011	383
210	2019	373
211	2026	363
212	2036	353
213	2051	345
214	2061	335
215	2072	326
216	2085	317
217	2095	307
218	2108	298
219	2118	288
220	2127	279
221	2137	269
222	2145	259
223	2157	250
224	2171	241
225	2182	231
226	2194	222
227	2202	212
228	2208	202
229	2214	192
230	2222	182
231	2231	173
232	2238	163
233	2250	153
234	2263	144
235	2270	134
236	2275	124
237	2287	115
238	2294	105
239	2301	95
240	2309	86
241	2316	76
242	2323	66
243	2332	57
244	2343	47
245	2355	38
246	2365	28
247	2376	19
248	2385	9
249	2391	0
