iter	Passed	Remaining
0	9	2258
1	15	1967
2	25	2103
3	35	2203
4	50	2457
5	55	2247
6	61	2125
7	65	1993
8	71	1908
9	76	1828
10	82	1794
11	89	1768
12	95	1738
13	100	1693
14	105	1653
15	110	1609
16	116	1599
17	121	1565
18	126	1543
19	132	1522
20	139	1524
21	146	1515
22	152	1509
23	158	1494
24	164	1484
25	169	1462
26	174	1442
27	182	1449
28	190	1450
29	199	1465
30	206	1460
31	212	1447
32	220	1453
33	230	1462
34	237	1461
35	243	1444
36	249	1438
37	256	1430
38	263	1427
39	270	1421
40	280	1431
41	289	1433
42	298	1435
43	304	1424
44	314	1434
45	323	1432
46	330	1428
47	342	1440
48	349	1433
49	357	1429
50	362	1413
51	368	1403
52	375	1395
53	384	1396
54	391	1389
55	400	1385
56	409	1384
57	416	1378
58	423	1371
59	433	1373
60	441	1367
61	450	1367
62	456	1354
63	461	1340
64	468	1334
65	473	1321
66	481	1315
67	490	1313
68	498	1307
69	513	1319
70	527	1329
71	534	1321
72	550	1335
73	568	1351
74	582	1359
75	589	1348
76	597	1341
77	604	1334
78	617	1337
79	624	1327
80	629	1313
81	634	1299
82	638	1285
83	643	1272
84	648	1258
85	653	1246
86	658	1234
87	663	1222
88	669	1210
89	674	1198
90	679	1186
91	684	1174
92	689	1164
93	694	1153
94	699	1141
95	706	1132
96	711	1121
97	715	1109
98	722	1102
99	728	1092
100	736	1086
101	742	1076
102	749	1070
103	758	1064
104	764	1055
105	769	1044
106	774	1034
107	780	1026
108	785	1016
109	795	1012
110	805	1009
111	817	1007
112	824	999
113	828	988
114	833	978
115	842	973
116	848	964
117	854	955
118	860	947
119	866	938
120	870	928
121	875	918
122	880	909
123	885	900
124	890	890
125	896	882
126	901	872
127	906	863
128	912	855
129	916	845
130	921	837
131	930	831
132	938	825
133	943	817
134	950	809
135	958	803
136	962	793
137	967	785
138	972	776
139	978	768
140	983	760
141	988	751
142	995	745
143	1001	737
144	1008	730
145	1015	723
146	1022	716
147	1028	708
148	1033	700
149	1039	692
150	1044	684
151	1048	676
152	1055	669
153	1064	663
154	1073	657
155	1080	651
156	1086	643
157	1090	635
158	1095	627
159	1105	621
160	1111	614
161	1116	606
162	1121	598
163	1126	590
164	1131	582
165	1135	574
166	1141	567
167	1146	559
168	1152	552
169	1159	545
170	1164	537
171	1169	530
172	1175	523
173	1180	515
174	1185	507
175	1190	500
176	1198	494
177	1205	487
178	1217	482
179	1225	476
180	1231	469
181	1237	462
182	1242	454
183	1252	449
184	1264	444
185	1277	439
186	1283	432
187	1292	426
188	1304	421
189	1311	414
190	1316	406
191	1322	399
192	1326	391
193	1332	384
194	1337	377
195	1343	370
196	1349	363
197	1354	355
198	1368	350
199	1374	343
200	1380	336
201	1387	329
202	1394	322
203	1404	316
204	1411	309
205	1418	302
206	1423	295
207	1430	288
208	1445	283
209	1461	278
210	1477	273
211	1489	266
212	1501	260
213	1510	254
214	1516	246
215	1529	240
216	1540	234
217	1546	226
218	1552	219
219	1559	212
220	1568	205
221	1581	199
222	1589	192
223	1599	185
224	1607	178
225	1615	171
226	1623	164
227	1630	157
228	1643	150
229	1652	143
230	1658	136
231	1663	129
232	1668	121
233	1674	114
234	1679	107
235	1685	99
236	1690	92
237	1696	85
238	1707	78
239	1715	71
240	1724	64
241	1733	57
242	1745	50
243	1755	43
244	1766	36
245	1775	28
246	1784	21
247	1791	14
248	1799	7
249	1810	0
